step_id,task,feedback,location,description,inventory,score,reward,is_done,summary,thought,action,error,final_reward
1,,,Bathroom,"You make a grand eccentric entrance into a bathroom. You don't like doors? Why not try going north, that entranceway is unblocked. You need an unguarded exit? You should try going west.",You are carrying nothing.,0,0.0,False,I started in the bathroom.,"Follow the required path exactly; first instruction is to travel north from the Bathroom. After each move, verify we’re still following the sequence and adjust only if a move is blocked (but try it as instructed first).",go north,,0.0
2,,"You've just walked into a fun recreation zone. There is an unguarded exit to the east. There is an exit to the north. Don't worry, it is unblocked. There is an unblocked exit to the south.",Fun Recreation Zone,"You've just walked into a fun recreation zone. There is an unguarded exit to the east. There is an exit to the north. Don't worry, it is unblocked. There is an unblocked exit to the south.",You are carrying nothing.,0,0.0,False,I started in the bathroom.,Next required move in the scripted route is to go **north** again (from the Fun Recreation Zone).,go north,,0.0
3,,"You've just shown up in a washroom. You don't like doors? Why not try going east, that entranceway is unguarded. There is an exit to the south. Don't worry, it is unguarded. There is an exit to the west. Don't worry, it is unguarded.",Washroom,"You've just shown up in a washroom. You don't like doors? Why not try going east, that entranceway is unguarded. There is an exit to the south. Don't worry, it is unguarded. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,"I went north → I arrived in the fun recreation zone  
I went north → I arrived in the washroom","We’re following the scripted route. So far we’ve done: **north, north** and are now in the **Washroom**.
The next required move is **go east** (from the Washroom).",go east,,0.0
4,,"You find yourself in a lounge. An entertaining kind of place. You don't like doors? Why not try going east, that entranceway is unblocked. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",Entertaining Lounge,"You find yourself in a lounge. An entertaining kind of place. You don't like doors? Why not try going east, that entranceway is unblocked. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,I went east → I arrived in the Entertaining Lounge,"Next in the scripted route after **east** is **south**. From the Entertaining Lounge, there is an exit to the south, so we should take it to stay on track.",go south,,0.0
5,,"Guess what, you are in the place we're calling the serious office. You need an unblocked exit? You should try going north. There is an unguarded exit to the south. You need an unguarded exit? You should try going west.",Serious Office,"Guess what, you are in the place we're calling the serious office. You need an unblocked exit? You should try going north. There is an unguarded exit to the south. You need an unguarded exit? You should try going west.",You are carrying nothing.,0,0.0,False,I went south → I arrived in the Serious Office,"We’re following the scripted route. The next required move after the last **south** is **west** (“make an attempt to travel west”).
From the **Serious Office**, there is an unguarded exit to the **west**, so the best next action is to go west.",go west,,0.0
6,,"You arrive in a spotless sauna. You don't like doors? Why not try going east, that entranceway is unblocked. You need an unguarded exit? You should try going north. You don't like doors? Why not try going south, that entranceway is unguarded.",Spotless Sauna,"You arrive in a spotless sauna. You don't like doors? Why not try going east, that entranceway is unblocked. You need an unguarded exit? You should try going north. You don't like doors? Why not try going south, that entranceway is unguarded.",You are carrying nothing.,0,0.0,False,I went west → I arrived in the spotless sauna,"Next scripted move after the prior **west** is **north** (“With that accomplished, travel north.”). From the **Spotless Sauna**, there’s an unguarded exit to the **north**, so we should go north to stay on route.",go north,,0.0
7,,"You arrive in a canteen. A hot one. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south. There is an exit to the west. Don't worry, it is unblocked.",Hot Canteen,"You arrive in a canteen. A hot one. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south. There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0,0.0,False,I went north → I arrived in the hot canteen,"We need to follow the scripted path from the task list. We’re at “travel north” already done (step6->7). Next instruction: “make an effort to go west.” Current room Hot Canteen has west exit unblocked, so go west.",go west,,0.0
8,,"You are in a canteen. A steamy one. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unblocked. You need an unblocked exit? You should try going south.",Steamy Canteen,"You are in a canteen. A steamy one. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unblocked. You need an unblocked exit? You should try going south.",You are carrying nothing.,0,0.0,False,"I went north → I arrived in the hot canteen.  
I went west → I arrived in the steamy canteen.","Next required move in the scripted path is “attempt to take a trip south.” From Steamy Canteen, there is an exit to the south, so we should go south.",go south,,0.0
9,,"Look around you. Take it all in. It's not every day someone gets to be in a serious studio. You need an unguarded exit? You should try going east. There is an unblocked exit to the north. You don't like doors? Why not try going west, that entranceway is unguarded.",Serious Studio,"Look around you. Take it all in. It's not every day someone gets to be in a serious studio. You need an unguarded exit? You should try going east. There is an unblocked exit to the north. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0,0.0,False,I went south → I arrived in the Serious Studio,"Next scripted move after “take a trip south” is “try to venture west.” We’re in the Serious Studio and there’s an unguarded exit to the west, so go west now.",go west,,0.0
10,,"You arrive in a bathroom. A spotless one. You need an unguarded exit? You should try going east. There is an exit to the north. Don't worry, it is unblocked. There is an unblocked exit to the west.",Spotless Bathroom,"You arrive in a bathroom. A spotless one. You need an unguarded exit? You should try going east. There is an exit to the north. Don't worry, it is unblocked. There is an unblocked exit to the west.",You are carrying nothing.,0,0.0,False,I went west → I arrived in the Spotless Bathroom,"We must follow the scripted route. After step 9 “venture west” (done) and step 10 “move west” next. There is west exit, so go west.",go west,,0.0
11,,"You're now in the playroom. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unblocked. You need an unblocked exit? You should try going west.",Playroom,"You're now in the playroom. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unblocked. You need an unblocked exit? You should try going west.",You are carrying nothing.,0,0.0,False,I went west → I arrived in the playroom,"Next scripted move after “venture west” and “move west” is “go south.” From the Playroom there is an unblocked exit to the south, so take it to stay on the required route.",go south,,0.0
