agent_name,model_name,eval_name,eval_size,episode,task,revised_task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
topline,gpt-5.2,tw-cooking-1,10,10,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather and cook the required ingredients using available tools, prepare the meal, then eat the cooked meal.",True,1.0,5,20,4,33239,365,33604,0.05816825,0.00511,0.06327825,1770057875.6841621,,35.42788624763489,0.2,2.975836209975003e-05,,1770057916.1120484
topline,gpt-5.2,tw-cooking-1,10,20,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather any required ingredients and tools, cook the meal as specified, prepare the meal, then eat the finished meal.",True,1.0,6,20,5,40799,477,41276,0.07139825,0.006678,0.07807625,1770057917.7202954,,52.78984570503235,0.16666666666666666,2.4227153793972285e-05,,1770057976.5101411
topline,gpt-5.2,tw-cooking-1,10,30,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the required recipe, gather and cook the necessary ingredients/tools as instructed, then prepare the meal and eat it.",True,1.0,7,20,6,47092,559,47651,0.082411,0.007826,0.090237,1770057978.178599,,58.06222414970398,0.14285714285714285,2.098591844872091e-05,,1770058043.2408233
topline,gpt-5.2,tw-cooking-1,10,40,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather any required ingredients and tools, cook the dish accordingly, prepare the meal, then eat the prepared meal.",True,1.0,7,20,6,48859,575,49434,0.08550325,0.00805,0.09355325,1770058044.7049215,,56.246389627456665,0.14285714285714285,2.0228992191609014e-05,,1770058107.951311
topline,gpt-5.2,tw-cooking-1,10,50,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, collect any required ingredients and tools, cook the required food(s), prepare the meal, then eat the prepared meal.",True,1.0,7,20,6,49337,594,49931,0.08633974999999999,0.008316,0.09465575,1770058109.5447218,,65.58495545387268,0.14285714285714285,2.0027638140634075e-05,,1770058182.1296773
topline,gpt-5.2,tw-cooking-1,10,60,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Find and examine the cookbook in the kitchen to learn the recipe, gather the required ingredients and tools, cook the dish as specified, prepare the meal, and then eat the prepared meal.",True,1.0,8,20,8,55136,608,55744,0.09648799999999999,0.008512,0.105,1770058183.6069045,,59.37793302536011,0.125,1.793915040183697e-05,,1770058250.9848375
topline,gpt-5.2,tw-cooking-1,10,70,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather any required ingredients and tools, cook the meal as specified, then eat the prepared meal.",True,1.0,7,20,6,47780,577,48357,0.08361500000000001,0.008078,0.09169300000000001,1770058252.6529,,56.01032996177673,0.14285714285714285,2.067952933391236e-05,,1770058315.66323
topline,gpt-5.2,tw-cooking-1,10,80,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather the required ingredients and tools, cook the dish as instructed (using the appropriate preparation actions like slice/dice/chop/cook), prepare the meal, and eat the finished meal.",True,1.0,9,20,9,65115,812,65927,0.11395125,0.011368,0.12531925,1770058317.4643848,,85.09299087524414,0.1111111111111111,1.516829220198098e-05,,1770058411.5573757
topline,gpt-5.2,tw-cooking-1,10,90,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather any required ingredients and tools, cook the dish as specified, prepare the meal, then eat the prepared meal.",False,0.0,21,20,10,172481,2346,174827,0.30184175,0.032844,0.33468575,1770058413.0235474,,544.7669410705566,0.0,0.0,,1770058978.7904885
topline,gpt-5.2,tw-cooking-1,10,100,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather any required ingredients and tools, cook the required food(s) accordingly, prepare the meal, then eat the prepared meal.",True,1.0,12,20,10,90124,1176,91300,0.157717,0.016464,0.174181,1770058980.272555,,104.76056337356567,0.08333333333333333,1.095290251916758e-05,,1770059097.0331185
