agent_name,model_name,eval_name,eval_size,episode,task,revised_task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
minus-reasoner,gpt-5.2,tw-cooking-3,10,10,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather and process the required ingredients using the available tools (cut/slice/dice/chop/cook as needed), then prepare the meal and eat it.",True,1.0,60,67,45,409530,2591,412121,0.7166775,0.036274,0.7529515,1769997790.1530092,,494.1799592971802,0.016666666666666666,2.4264718371546223e-06,,1769998344.3329685
minus-reasoner,gpt-5.2,tw-cooking-3,10,20,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather the required ingredients and tools, prepare and cook the meal as instructed, then eat the finished meal.",True,1.0,56,67,45,362610,2308,364918,0.6345675,0.032312,0.6668795,1769998345.8384805,,432.3979172706604,0.017857142857142856,2.740341665798892e-06,,1769998834.2363977
minus-reasoner,gpt-5.2,tw-cooking-3,10,30,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather the required ingredients/tools, cook the meal as specified (using the appropriate cooking action), prepare meal, then eat the prepared meal.",True,1.0,32,61,41,183088,1404,184492,0.320404,0.019656,0.34006000000000003,1769998835.9337556,,218.5889596939087,0.03125,5.4202892266331335e-06,,1769999086.5227153
minus-reasoner,gpt-5.2,tw-cooking-3,10,40,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Find and examine the cookbook in the kitchen to learn the recipe, gather the required ingredients and tools, cook the needed items as specified, prepare the meal, and eat it.",False,0.7857142857142857,39,84,56,234758,1685,236443,0.4108265,0.02359,0.4344165,1769999088.0138667,,277.086181640625,0.020146520146520148,3.3230600428614326e-06,,1769999404.1000483
minus-reasoner,gpt-5.2,tw-cooking-3,10,50,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather any required ingredients and tools, cook the required food items as specified, prepare the meal, then eat the prepared meal.",False,0.47058823529411764,42,91,61,254532,1857,256389,0.44543099999999997,0.025998,0.471429,1769999405.7074487,,315.87445974349976,0.011204481792717087,1.835446276143351e-06,,1769999763.5819085
minus-reasoner,gpt-5.2,tw-cooking-3,10,60,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather any required ingredients and tools, cook the meal following the recipe, then eat the prepared meal.",False,0.5882352941176471,37,75,50,215104,1589,216693,0.376432,0.022246,0.398678,1769999765.0242953,,254.5461015701294,0.01589825119236884,2.714602198121984e-06,,1770000056.570397
minus-reasoner,gpt-5.2,tw-cooking-3,10,70,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Find and examine the cookbook in the kitchen to learn the recipe, gather and prepare/cook the required ingredients using available tools, then prepare meal and eat it.",False,0.875,81,96,64,595106,3319,598425,1.0414355,0.046466,1.0879014999999999,1770000058.2121243,,729.4390165805817,0.010802469135802469,1.462171533609057e-06,,1770000868.651141
minus-reasoner,gpt-5.2,tw-cooking-3,10,80,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather any required ingredients and tools, cook the required food items as instructed, then use **prepare meal** and eat the prepared meal.",False,0.3125,97,100,69,768836,3972,772808,1.3454629999999999,0.055608,1.401071,1770000870.2030067,,951.9399251937866,0.0032216494845360823,4.0436951998426516e-07,,1770001919.142932
minus-reasoner,gpt-5.2,tw-cooking-3,10,90,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Find the kitchen cookbook and read it to learn the required recipe, gather and prepare the necessary ingredients using the available tools (cut/slice/dice/cook as specified), then use **prepare meal** and eat the finished meal.",False,0.47058823529411764,41,100,75,246220,1699,247919,0.43088499999999996,0.023786,0.45467099999999994,1770001920.763632,,288.25296092033386,0.011477761836441894,1.8981531681481357e-06,,1770002250.016593
minus-reasoner,gpt-5.2,tw-cooking-3,10,100,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather any required ingredients and tools, cook the required food(s) as instructed, use “prepare meal” to make the meal, then eat the prepared meal.",False,0.0,101,100,68,812242,4090,816332,1.4214235,0.05726,1.4786835,1770002251.7082646,,1005.0347657203674,0.0,0.0,,1770003357.7430303
