agent_name,model_name,eval_name,eval_size,episode,task,revised_task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
plus-tasker,gpt-5.2,tw-cooking-1,10,10,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather any required ingredients and tools, cook the dish as directed, prepare the meal, then eat the finished meal.",True,1.0,5,20,4,10643,64,10707,0.01862525,0.000896,0.01952125,1769879268.6655974,,6.414326190948486,0.2,9.33968431867003e-05,,1769879280.0799236
plus-tasker,gpt-5.2,tw-cooking-1,10,20,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook for the recipe, gather and cook the required ingredients using available tools, prepare the meal, and eat it.",True,1.0,6,20,5,12542,66,12608,0.0219485,0.0009240000000000001,0.0228725,1769879281.7092373,,23.816814184188843,0.16666666666666666,7.931472081218273e-05,,1769879311.5260515
plus-tasker,gpt-5.2,tw-cooking-1,10,30,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather any required ingredients and tools, cook the dish as specified, prepare the meal, then eat the prepared meal to finish.",True,1.0,8,20,6,16144,91,16235,0.028252,0.001274,0.029526,1769879313.3702466,,12.46654224395752,0.125,6.159531875577457e-05,,1769879333.836789
plus-tasker,gpt-5.2,tw-cooking-1,10,40,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather any required ingredients and tools, cook the meal as instructed, then eat the prepared meal.",True,1.0,8,20,6,16756,87,16843,0.029323000000000002,0.001218,0.030541000000000002,1769879335.319051,,9.312983512878418,0.125,5.937184587068812e-05,,1769879352.6320345
plus-tasker,gpt-5.2,tw-cooking-1,10,50,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather and cook the required ingredients using the available appliances/tools, prepare the meal, then eat the meal.",True,1.0,9,20,6,18977,93,19070,0.03320975,0.001302,0.03451175,1769879354.3170586,,31.8149995803833,0.1111111111111111,5.243838489774515e-05,,1769879395.1320581
plus-tasker,gpt-5.2,tw-cooking-1,10,60,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the required recipe, gather any needed ingredients/tools, cook the meal as specified (using the appropriate cook commands), prepare the meal, then eat the finished meal.",True,1.0,9,20,8,18254,101,18355,0.0319445,0.0014140000000000001,0.0333585,1769879396.6392248,,10.623868703842163,0.1111111111111111,5.4481067828929447e-05,,1769879416.2630935
plus-tasker,gpt-5.2,tw-cooking-1,10,70,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather the required ingredients/tools, cook the meal as directed, then prepare and eat the meal.",True,1.0,8,20,6,16335,89,16424,0.028586249999999997,0.001246,0.029832249999999998,1769879417.797342,,21.582637786865234,0.125,6.088650754992694e-05,,1769879447.3799798
plus-tasker,gpt-5.2,tw-cooking-1,10,80,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather any required ingredients and tools, cook the meal as instructed (using actions like take/open/cut/slice/dice/chop/cook), prepare meal, then eat the prepared meal.",True,1.0,10,20,9,20784,119,20903,0.036372,0.0016660000000000002,0.038038,1769879448.866495,,19.16213846206665,0.1,4.784002296321102e-05,,1769879478.0286334
plus-tasker,gpt-5.2,tw-cooking-1,10,90,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Find and examine the cookbook in the kitchen to learn the recipe, gather any required ingredients/tools, cook the meal accordingly, then eat the prepared meal.",True,1.0,12,20,10,24868,116,24984,0.043519,0.001624,0.045143,1769879479.6882071,,30.649346351623535,0.08333333333333333,4.002561639449247e-05,,1769879522.3375535
plus-tasker,gpt-5.2,tw-cooking-1,10,100,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Find the kitchen, examine the cookbook to learn the recipe, gather any required ingredients/tools, cook the meal as specified, then eat the prepared meal.",True,1.0,12,20,10,24770,117,24887,0.0433475,0.001638,0.0449855,1769879524.1121013,,25.371944189071655,0.08333333333333333,4.0181620926588175e-05,,1769879561.4840455
