step_id,task,feedback,location,description,inventory,score,reward,is_done,summary,thought,action,error,final_reward
1,,,Bar,"Well, here we are in the bar. You begin to take stock of what's here. There is a closed portal leading south. There is an open door leading north.",You are carrying nothing.,0,0.0,False,,,open portal,,0.0
2,,You open portal.,Bar,"Well, here we are in the bar. You begin to take stock of what's here. There is an open portal leading south. There is an open door leading north.",You are carrying nothing.,0,0.0,False,,,go south,,0.0
3,,"Well, here we are in a dish-pit. You can make out a plate. The plate is normal. On the plate you make out a passkey. It doesn't get more TextWorld than this! There is an open portal leading north. There is a closed gateway leading south.",Dish-Pit,"Well, here we are in a dish-pit. You can make out a plate. The plate is normal. On the plate you make out a passkey. It doesn't get more TextWorld than this! There is an open portal leading north. There is a closed gateway leading south.",You are carrying nothing.,0,0.0,False,,,take passkey from plate,,0.0
4,,You take the passkey from the plate.,Dish-Pit,"Well, here we are in a dish-pit. You can make out a plate. The plate is normal. But the thing is empty. There is an open portal leading north. There is a closed gateway leading south.",You are carrying: a passkey.,0,0.0,False,,,unlock gateway with passkey,,0.0
5,,You unlock gateway.,Dish-Pit,"Well, here we are in a dish-pit. You can make out a plate. The plate is normal. But the thing is empty. There is an open portal leading north. There is a closed gateway leading south.",You are carrying: a passkey.,0,0.0,False,,,open gateway,,0.0
6,,You open gateway.,Dish-Pit,"Well, here we are in a dish-pit. You can make out a plate. The plate is normal. But the thing is empty. There is an open portal leading north. There is an open gateway leading south.",You are carrying: a passkey.,0,0.0,False,,,go south,,0.0
7,,"You are in a shower. A standard one. Hey, want to see a drawer? Look over there, a drawer. Something scurries by right in the corner of your eye. Probably nothing. The drawer is empty, what a horrible day! There is an open gateway leading north. There is an open gate leading west. There is a cucumber on the floor.",Shower,"You are in a shower. A standard one. Hey, want to see a drawer? Look over there, a drawer. Something scurries by right in the corner of your eye. Probably nothing. The drawer is empty, what a horrible day! There is an open gateway leading north. There is an open gate leading west. There is a cucumber on the floor.",You are carrying: a passkey.,0,0.0,False,,,go west,,0.0
8,,You find yourself in a sauna. There is an open gate leading east. There is an open hatch leading west.,Sauna,You find yourself in a sauna. There is an open gate leading east. There is an open hatch leading west.,You are carrying: a passkey.,0,0.0,False,,,go west,,0.0
9,,"Fancy seeing you here. Here, by the way, being the closet. You start to take note of what's in the room. A locked standard looking coffer is close by. You make out an opened normal looking trunk in the corner. What a letdown! The trunk is empty! You make out a table. The table is usual. But the thing hasn't got anything on it. Oh! Why couldn't there just be stuff on it? There is an open hatch leading east. There is an open passageway leading north. There is an exit to the west. Don't worry, it is unguarded.",Closet,"Fancy seeing you here. Here, by the way, being the closet. You start to take note of what's in the room. A locked standard looking coffer is close by. You make out an opened normal looking trunk in the corner. What a letdown! The trunk is empty! You make out a table. The table is usual. But the thing hasn't got anything on it. Oh! Why couldn't there just be stuff on it? There is an open hatch leading east. There is an open passageway leading north. There is an exit to the west. Don't worry, it is unguarded.",You are carrying: a passkey.,0,0.0,False,,,go west,,0.0
10,,"You've just sauntered into a recreation zone. You try to gain information on your surroundings by using a technique you call ""looking."" You can make out a desk. The desk is ordinary. Unfortunately, there isn't a thing on it. You don't like doors? Why not try going east, that entranceway is unguarded. There is an exit to the north. Don't worry, it is unguarded. You don't like doors? Why not try going west, that entranceway is unguarded.",Recreation Zone,"You've just sauntered into a recreation zone. You try to gain information on your surroundings by using a technique you call ""looking."" You can make out a desk. The desk is ordinary. Unfortunately, there isn't a thing on it. You don't like doors? Why not try going east, that entranceway is unguarded. There is an exit to the north. Don't worry, it is unguarded. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying: a passkey.,0,0.0,False,,,go west,,0.0
