agent_name,model_name,eval_name,eval_size,episode,task,revised_task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
plus-tasker,gpt-5.2,tw-treasure-3,10,10,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! First off, if it's not too much trouble, I need you to take a trip west. That done, venture north. And then, pick-up the fondue from the floor of the studio. And if you do that, you're the winner!","Go west, then north to the studio, and take the fondue from the floor.",True,1.0,5,20,3,9648,46,9694,0.016884,0.000644,0.017528,1769855993.9986303,,16.073468685150146,0.2,0.00010315659170621003,,1769856015.072099
plus-tasker,gpt-5.2,tw-treasure-3,10,20,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First thing I need you to do is to ensure that the passageway inside the bedchamber is open. And then, make an effort to take a trip south. With that over with, venture south. And then, travel east. Then, pick-up the passkey from the floor of the laundromat. Once that's all handled, you can stop!","Open the passageway in the bedchamber (if it isn’t already), go south twice, go east to the laundromat, and take the passkey from the floor.",True,1.0,19,20,5,37126,150,37276,0.0649705,0.0021,0.0670705,1769856016.5235083,,30.71359920501709,0.05263157894736842,2.682691275887971e-05,,1769856066.2371075
plus-tasker,gpt-5.2,tw-treasure-3,10,30,"Who's got a virtual machine and is about to play through an life changing round of TextWorld? You do! Here is how to play! First of all, you could, like, head west. Then, take a trip west. If you can get around to doing that, take a trip west. If you can finish that, make an attempt to head south. And then, make an effort to go east. Then, try to go east. Then, recover the loaf of bread from the rack in the laundromat. And once you've done that, you win!","Go west three times, then go south, then go east twice to reach the laundromat, and take the loaf of bread from the rack.",True,1.0,21,20,7,42281,157,42438,0.07399175,0.002198,0.07618975,1769856067.8482132,,36.82664918899536,0.047619047619047616,2.3563787171874265e-05,,1769856125.6748624
plus-tasker,gpt-5.2,tw-treasure-3,10,40,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is your task for today. First stop, make an effort to travel north. And then, travel west. With that over with, make an attempt to travel west. With that accomplished, make an effort to venture south. After that, head south. With that done, travel west. After that, go north. That done, go north. And then, lift the keycard from the floor of the cubicle. Once that's all handled, you can stop!","Go north, west, west, south, south, west, north, north to reach the cubicle, then take the keycard from the floor.",True,1.0,7,20,9,14407,71,14478,0.02521225,0.000994,0.02620625,1769856127.0569673,,19.89848303794861,0.14285714285714285,6.907031357922365e-05,,1769856153.9554503
plus-tasker,gpt-5.2,tw-treasure-3,10,50,"Welcome to another fast paced session of TextWorld! First of all, you could, like, travel west. Then, attempt to venture west. And then, go north. And then, make an effort to head east. And then, move east. Then, head east. With that done, attempt to venture north. Okay, and then, attempt to move west. After that, try to venture west. Then, try to head west. Next, retrieve the Comic Strip Calendar from the chair. Once that's all handled, you can stop!","Go west, west, north, east, east, east, north, west, west, west; then take the Comic Strip Calendar from the chair.",False,0.0,21,20,11,41723,155,41878,0.07301525,0.00217,0.07518525000000001,1769856155.4365356,,43.73704385757446,0.0,0.0,,1769856220.1735795
plus-tasker,gpt-5.2,tw-treasure-3,10,60,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Your first objective is to open the portal in the bar. After that, go to the south. And then, recover the passkey from the plate inside the dish-pit. If you can get your hands on the passkey, unlock the gateway with the passkey. Then, ensure that the gateway inside the dish-pit is open. After that, go south. And then, try to take a trip west. And then, take a trip west. If you can get through with that, make an attempt to venture west. Once you accomplish that, take a trip north. And then, make an effort to go east. Then, lift the sandwich from the floor of the parlor. And if you do that, you're the winner!","Open the portal in the bar, go south to the dish-pit, take the passkey from the plate, unlock and open the gateway, go south, go west three times, go north, go east, and take the sandwich from the parlor floor.",True,1.0,16,20,12,31746,152,31898,0.05555550000000001,0.002128,0.057683500000000006,1769856221.651131,,25.194556951522827,0.0625,3.134992789516584e-05,,1769856262.8456879
plus-tasker,gpt-5.2,tw-treasure-3,10,70,"Welcome to TextWorld! First thing I need you to do is to attempt to travel south. Then, pick-up the Canadian keycard from the floor of the cubicle. With the Canadian keycard, check that the Canadian passageway inside the cubicle is unlocked with the Canadian keycard. Then, ensure that the Canadian passageway is open. After that, go to the west. After that, make an effort to go to the north. Then, retrieve the key from the floor of the workshop. Alright, thanks!","Go south, take the Canadian keycard from the cubicle floor, use it to unlock the Canadian passageway, open the passageway, go west then north to the workshop, and take the key from the workshop floor.",True,1.0,9,20,7,17630,106,17736,0.030852499999999998,0.001484,0.0323365,1769856264.3861742,,19.92059087753296,0.1111111111111111,5.638249887235002e-05,,1769856293.306765
plus-tasker,gpt-5.2,tw-treasure-3,10,80,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First off, if it's not too much trouble, I need you to attempt to go to the north. And then, make sure that the door inside the basement is unlocked with the key. Then, ensure that the door in the basement is open. After that, move north. With that over with, attempt to take a trip west. That done, attempt to move west. Once you finish that, head north. Okay, and then, attempt to head west. And then, try to head north. Following that, take a trip east. Then, make an effort to go to the east. And then, head east. Then, venture east. And then, attempt to head south. And then, head west. Once you get through with that, pick-up the lampshade from the floor of the cellar. Got that? Good!","From the starting room, try going north; in the basement unlock the door with the key and open it; go north, then navigate: west, west, north, west, north, east, east, east, east, south, west; finally, in the cellar take the lampshade from the floor.",True,1.0,15,24,16,30542,155,30697,0.053448499999999996,0.00217,0.055618499999999994,1769856294.7515466,,31.53452205657959,0.06666666666666667,3.257647327100368e-05,,1769856341.2860687
plus-tasker,gpt-5.2,tw-treasure-3,10,90,"Welcome to TextWorld! First off, if it's not too much trouble, I need you to go to the north. Then, open the gate. Then, head west. And then, make an effort to head north. With that done, ensure that the hatch in the steam room is open. After that, try to move west. And then, travel west. With that over with, make an effort to go to the west. If you can get through with that, make an effort to move south. After that, attempt to head south. With that accomplished, attempt to travel east. After that, try to travel south. And then, travel south. After that, take a trip east. And then, make an attempt to take a trip north. Then, go north. Okay, and then, attempt to venture north. Next, lift the sandwich from the floor of the bar. That's it!",Follow this exact route and interaction sequence: go north; open the gate; go west; go north; in the steam room open the hatch; go west; go west; go west; go south; go south; go east; go south; go south; go east; go north; go north; go north; then take the sandwich from the floor of the bar.,True,1.0,21,27,18,42916,202,43118,0.075103,0.0028280000000000002,0.077931,1769856342.73226,,43.55396628379822,0.047619047619047616,2.3192170323298855e-05,,1769856407.2862263
plus-tasker,gpt-5.2,tw-treasure-3,10,100,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First step, move west. And then, try to move south. And then, make an attempt to go to the south. With that done, retrieve the American style passkey from the basket. After that, go north. Then, unlock the American style gate in the study. And then, open the American style gate. After that, go to the east. And then, open the gate inside the sauna. After opening the gate, make an attempt to venture east. Then, make an attempt to move east. With that done, try to venture south. After that, pick-up the non-euclidean latchkey from the floor of the spare room. And then, go north. After that, make absolutely sure that the non-euclidean passageway is unlocked. After that, open the non-euclidean passageway. Then, move north. With that over with, move east. After that, make an effort to head south. Then, recover the stapler from the floor of the studio. Got that? Good!","Go west, then south twice; take the American style passkey from the basket; go north; unlock and open the American style gate in the study; go east; open the gate in the sauna; go east twice; go south; take the non-euclidean latchkey from the spare room floor; go north; unlock and open the non-euclidean passageway; go north, then east, then south; take the stapler from the studio floor.",True,1.0,24,30,20,48609,279,48888,0.08506575,0.003906,0.08897175,1769856408.7528524,,46.659358739852905,0.041666666666666664,2.0454917362133855e-05,,1769856479.4122112
