step_id,task,feedback,location,description,inventory,score,reward,is_done,summary,thought,action,error,final_reward
1,,,Kitchen,"I am sorry to announce that you are now in the kitchen. You begin to take stock of what's in the room. You scan the room for a fridge, and you find a fridge. Hmmm... what else, what else? You can make out a closed oven nearby. Were you looking for a table? Because look over there, it's a table. You see a knife on the table. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting. You can see a counter. On the counter you see a banana, a raw red potato, a red hot pepper, a red onion, a raw purple potato and a cookbook. You see a stove. But oh no! there's nothing on this piece of trash. This always happens!",You are carrying: a white onion.,0,0.0,False,,,examine cookbook,,0.0
2,,"You open the copy of ""Cooking: A Modern Approach (3rd Ed.)"" and start reading: Recipe #1 --------- Gather all following ingredients and follow the directions to prepare this tasty meal. Ingredients: banana red hot pepper white onion red potato Directions: slice the banana fry the banana slice the red hot pepper roast the red hot pepper dice the white onion fry the white onion chop the red potato fry the red potato prepare meal",Kitchen,"I am sorry to announce that you are now in the kitchen. You begin to take stock of what's in the room. You scan the room for a fridge, and you find a fridge. Hmmm... what else, what else? You can make out a closed oven nearby. Were you looking for a table? Because look over there, it's a table. You see a knife on the table. You idly wonder how they came up with the name TextWorld for this place. It's pretty fitting. You can see a counter. On the counter you see a banana, a raw red potato, a red hot pepper, a red onion, a raw purple potato and a cookbook. You see a stove. But oh no! there's nothing on this piece of trash. This always happens!",You are carrying: a white onion.,0,0.0,False,,,take knife from table,,0.0
3,,You take the knife from the table.,Kitchen,"I am sorry to announce that you are now in the kitchen. You begin to take stock of what's in the room. You scan the room for a fridge, and you find a fridge. Hmmm... what else, what else? You can make out a closed oven nearby. Were you looking for a table? Because look over there, it's a table. The table appears to be empty. Oh! Why couldn't there just be stuff on it? You can see a counter. On the counter you see a banana, a raw red potato, a red hot pepper, a red onion, a raw purple potato and a cookbook. You see a stove. But oh no! there's nothing on this piece of trash. This always happens!",You are carrying: a knife and a white onion.,0,0.0,False,,,take banana from counter,,0.0
4,,You take the banana from the counter. Your score has just gone up by one point.,Kitchen,"I am sorry to announce that you are now in the kitchen. You begin to take stock of what's in the room. You scan the room for a fridge, and you find a fridge. Hmmm... what else, what else? You can make out a closed oven nearby. Were you looking for a table? Because look over there, it's a table. The table appears to be empty. Oh! Why couldn't there just be stuff on it? You can see a counter. On the counter you see a raw red potato, a red hot pepper, a red onion, a raw purple potato and a cookbook. You see a stove. But oh no! there's nothing on this piece of trash. This always happens!","You are carrying: a banana, a knife and a white onion.",1,0.0,False,,,take raw red potato from counter,,0.07692307692307693
5,,You take the red potato from the counter. Your score has just gone up by one point.,Kitchen,"I am sorry to announce that you are now in the kitchen. You begin to take stock of what's in the room. You scan the room for a fridge, and you find a fridge. Hmmm... what else, what else? You can make out a closed oven nearby. Were you looking for a table? Because look over there, it's a table. The table appears to be empty. Oh! Why couldn't there just be stuff on it? You can see a counter. On the counter you see a red hot pepper, a red onion, a raw purple potato and a cookbook. You see a stove. But oh no! there's nothing on this piece of trash. This always happens!","You are carrying: a raw red potato, a banana, a knife and a white onion.",2,0.0,False,,,slice banana with knife,,0.15384615384615385
6,,You slice the banana. Your score has just gone up by one point.,Kitchen,"I am sorry to announce that you are now in the kitchen. You begin to take stock of what's in the room. You scan the room for a fridge, and you find a fridge. Hmmm... what else, what else? You can make out a closed oven nearby. Were you looking for a table? Because look over there, it's a table. The table appears to be empty. Oh! Why couldn't there just be stuff on it? You can see a counter. On the counter you see a red hot pepper, a red onion, a raw purple potato and a cookbook. You see a stove. But oh no! there's nothing on this piece of trash. This always happens!","You are carrying: a raw red potato, a sliced banana, a knife and a white onion.",3,0.0,False,,,drop knife,,0.23076923076923078
7,,You drop the knife on the ground.,Kitchen,"I am sorry to announce that you are now in the kitchen. You begin to take stock of what's in the room. You scan the room for a fridge, and you find a fridge. Hmmm... what else, what else? You can make out a closed oven nearby. Were you looking for a table? Because look over there, it's a table. The table appears to be empty. Oh! Why couldn't there just be stuff on it? You can see a counter. On the counter you see a red hot pepper, a red onion, a raw purple potato and a cookbook. You see a stove. But oh no! there's nothing on this piece of trash. This always happens! There is a knife on the floor.","You are carrying: a raw red potato, a sliced banana and a white onion.",3,0.0,False,,,take red hot pepper from counter,,0.23076923076923078
8,,You take the red hot pepper from the counter. Your score has just gone up by one point.,Kitchen,"I am sorry to announce that you are now in the kitchen. You begin to take stock of what's in the room. You scan the room for a fridge, and you find a fridge. Hmmm... what else, what else? You can make out a closed oven nearby. Were you looking for a table? Because look over there, it's a table. The table appears to be empty. Oh! Why couldn't there just be stuff on it? You can see a counter. On the counter you see a red onion, a raw purple potato and a cookbook. You see a stove. But oh no! there's nothing on this piece of trash. This always happens! There is a knife on the floor.","You are carrying: a red hot pepper, a raw red potato, a sliced banana and a white onion.",4,0.0,False,,,take knife from floor,,0.3076923076923077
9,,You're carrying too many things already.,Kitchen,"I am sorry to announce that you are now in the kitchen. You begin to take stock of what's in the room. You scan the room for a fridge, and you find a fridge. Hmmm... what else, what else? You can make out a closed oven nearby. Were you looking for a table? Because look over there, it's a table. The table appears to be empty. Oh! Why couldn't there just be stuff on it? You can see a counter. On the counter you see a red onion, a raw purple potato and a cookbook. You see a stove. But oh no! there's nothing on this piece of trash. This always happens! There is a knife on the floor.","You are carrying: a red hot pepper, a raw red potato, a sliced banana and a white onion.",4,0.0,False,,,drop red hot pepper,,0.3076923076923077
10,,You drop the red hot pepper on the ground.,Kitchen,"I am sorry to announce that you are now in the kitchen. You begin to take stock of what's in the room. You scan the room for a fridge, and you find a fridge. Hmmm... what else, what else? You can make out a closed oven nearby. Were you looking for a table? Because look over there, it's a table. The table appears to be empty. Oh! Why couldn't there just be stuff on it? You can see a counter. On the counter you see a red onion, a raw purple potato and a cookbook. You see a stove. But oh no! there's nothing on this piece of trash. This always happens! There is a red hot pepper and a knife on the floor.","You are carrying: a raw red potato, a sliced banana and a white onion.",4,0.0,False,,,take knife from floor,,0.3076923076923077
11,,You pick up the knife from the ground.,Kitchen,"I am sorry to announce that you are now in the kitchen. You begin to take stock of what's in the room. You scan the room for a fridge, and you find a fridge. Hmmm... what else, what else? You can make out a closed oven nearby. Were you looking for a table? Because look over there, it's a table. The table appears to be empty. Oh! Why couldn't there just be stuff on it? You can see a counter. On the counter you see a red onion, a raw purple potato and a cookbook. You see a stove. But oh no! there's nothing on this piece of trash. This always happens! There is a red hot pepper on the floor.","You are carrying: a knife, a raw red potato, a sliced banana and a white onion.",4,0.0,False,,,drop knife,,0.3076923076923077
12,,You drop the knife on the ground.,Kitchen,"I am sorry to announce that you are now in the kitchen. You begin to take stock of what's in the room. You scan the room for a fridge, and you find a fridge. Hmmm... what else, what else? You can make out a closed oven nearby. Were you looking for a table? Because look over there, it's a table. The table appears to be empty. Oh! Why couldn't there just be stuff on it? You can see a counter. On the counter you see a red onion, a raw purple potato and a cookbook. You see a stove. But oh no! there's nothing on this piece of trash. This always happens! There is a knife and a red hot pepper on the floor.","You are carrying: a raw red potato, a sliced banana and a white onion.",4,0.0,False,,,take red hot pepper,,0.3076923076923077
13,,You pick up the red hot pepper from the ground.,Kitchen,"I am sorry to announce that you are now in the kitchen. You begin to take stock of what's in the room. You scan the room for a fridge, and you find a fridge. Hmmm... what else, what else? You can make out a closed oven nearby. Were you looking for a table? Because look over there, it's a table. The table appears to be empty. Oh! Why couldn't there just be stuff on it? You can see a counter. On the counter you see a red onion, a raw purple potato and a cookbook. You see a stove. But oh no! there's nothing on this piece of trash. This always happens! There is a knife on the floor.","You are carrying: a red hot pepper, a raw red potato, a sliced banana and a white onion.",4,0.0,False,,,take knife,,0.3076923076923077
