step_id,task,feedback,location,description,inventory,score,reward,is_done,summary,thought,action,error,final_reward
1,,,Workshop,"You find yourself in a workshop. An ordinary one. I guess you better just go and list everything you see here. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0,0.0,False,I started in the workshop.,,go west,,0.0
2,,"You find yourself in a study. An ordinary one. Let's see what's in here. There is an exit to the east. Don't worry, it is unguarded. You need an unblocked exit? You should try going south. There is an exit to the west. Don't worry, it is unblocked.",Study,"You find yourself in a study. An ordinary one. Let's see what's in here. There is an exit to the east. Don't worry, it is unguarded. You need an unblocked exit? You should try going south. There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0,0.0,False,"I started in the workshop.  
I went west → I arrived in the study.",,go south,,0.0
3,,"I am pleased to announce that you are now in the entertaining playroom. The room seems oddly familiar, as though it were only superficially different from the other rooms in the building. There is an unguarded exit to the north. There is an exit to the south. Don't worry, it is unguarded. You need an unblocked exit? You should try going west.",Entertaining Playroom,"I am pleased to announce that you are now in the entertaining playroom. The room seems oddly familiar, as though it were only superficially different from the other rooms in the building. There is an unguarded exit to the north. There is an exit to the south. Don't worry, it is unguarded. You need an unblocked exit? You should try going west.",You are carrying nothing.,0,0.0,False,I went south → I arrived in the entertaining playroom.,,go west,,0.0
4,,"You've just walked into a washroom. You need an unguarded exit? You should try going east. You don't like doors? Why not try going north, that entranceway is unblocked. You don't like doors? Why not try going south, that entranceway is unblocked.",Washroom,"You've just walked into a washroom. You need an unguarded exit? You should try going east. You don't like doors? Why not try going north, that entranceway is unblocked. You don't like doors? Why not try going south, that entranceway is unblocked.",You are carrying nothing.,0,0.0,False,I went west → I arrived in the washroom,,go south,,0.0
5,,You are in a garage. A roomy one. There is an unblocked exit to the north.,Roomy Garage,You are in a garage. A roomy one. There is an unblocked exit to the north.,You are carrying nothing.,0,0.0,False,I went south → I arrived in the roomy garage (only exit is north).,,go west,,0.0
6,,You can't go that way.,Roomy Garage,You are in a garage. A roomy one. There is an unblocked exit to the north.,You are carrying nothing.,0,0.0,False,I went west → I failed because there was no west exit from the roomy garage.,,go north,,0.0
7,,"You've just walked into a washroom. You need an unguarded exit? You should try going east. You don't like doors? Why not try going north, that entranceway is unblocked. You don't like doors? Why not try going south, that entranceway is unblocked.",Washroom,"You've just walked into a washroom. You need an unguarded exit? You should try going east. You don't like doors? Why not try going north, that entranceway is unblocked. You don't like doors? Why not try going south, that entranceway is unblocked.",You are carrying nothing.,0,0.0,False,I went north → I returned to the washroom (learned the garage has no exit except north).,,go north,,0.0
8,,"Well, here we are in the relaxing bedroom. You can barely contain your excitement. There is an unblocked exit to the east. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",Relaxing Bedroom,"Well, here we are in the relaxing bedroom. You can barely contain your excitement. There is an unblocked exit to the east. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,I went north → I arrived in the relaxing bedroom.,,go west,,0.0
9,,"You are in a cookhouse. A super hot one. You try to gain information on your surroundings by using a technique you call ""looking."" There is an unblocked exit to the east. There is an unblocked exit to the south. There is an unblocked exit to the west.",Super Hot Cookhouse,"You are in a cookhouse. A super hot one. You try to gain information on your surroundings by using a technique you call ""looking."" There is an unblocked exit to the east. There is an unblocked exit to the south. There is an unblocked exit to the west.",You are carrying nothing.,0,0.0,False,I went west → I arrived in the super hot cookhouse.,,go south,,0.0
10,,"You arrive in a parlor. A fun one. There is an exit to the north. Don't worry, it is unblocked. There is an unblocked exit to the south. There is an exit to the west. Don't worry, it is unguarded.",Fun Parlor,"You arrive in a parlor. A fun one. There is an exit to the north. Don't worry, it is unblocked. There is an unblocked exit to the south. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,"I went south → I arrived in the fun parlor (exits: north, south, west).",,go west,,0.0
11,,"You've entered a pleasant bedchamber. You try to gain information on your surroundings by using a technique you call ""looking."" There is an unguarded exit to the east. There is an unblocked exit to the north. There is an unblocked exit to the west.",Pleasant Bedchamber,"You've entered a pleasant bedchamber. You try to gain information on your surroundings by using a technique you call ""looking."" There is an unguarded exit to the east. There is an unblocked exit to the north. There is an unblocked exit to the west.",You are carrying nothing.,0,0.0,False,I went west → I arrived in the pleasant bedchamber.,,go north,,0.0
12,,"You're now in an unreasonably hot canteen. You don't like doors? Why not try going south, that entranceway is unblocked.",Unreasonably Hot Canteen,"You're now in an unreasonably hot canteen. You don't like doors? Why not try going south, that entranceway is unblocked.",You are carrying nothing.,0,0.0,False,I went north → I arrived in the Unreasonably Hot Canteen (exit south available).,,go west,,0.0
13,,You can't go that way.,Unreasonably Hot Canteen,"You're now in an unreasonably hot canteen. You don't like doors? Why not try going south, that entranceway is unblocked.",You are carrying nothing.,0,0.0,False,I went west → I failed because there was no west exit from the unreasonably hot canteen.,,go south,,0.0
14,,"You've entered a pleasant bedchamber. You try to gain information on your surroundings by using a technique you call ""looking."" There is an unguarded exit to the east. There is an unblocked exit to the north. There is an unblocked exit to the west.",Pleasant Bedchamber,"You've entered a pleasant bedchamber. You try to gain information on your surroundings by using a technique you call ""looking."" There is an unguarded exit to the east. There is an unblocked exit to the north. There is an unblocked exit to the west.",You are carrying nothing.,0,0.0,False,"I went south → I arrived in the pleasant bedchamber (exits: east, north, west).",,go west,,0.0
15,,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",Serious Workshop,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",You are carrying nothing.,0,0.0,False,"I went west → I arrived in the serious workshop (exits: east, north, south).",,go north,,0.0
16,,"You are in a scullery. An unreasonably hot one. You can barely contain your excitement. You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",Unreasonably Hot Scullery,"You are in a scullery. An unreasonably hot one. You can barely contain your excitement. You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,"I went north → I arrived in the Unreasonably Hot Scullery (exits: east, south, west).",,go south,,0.0
17,,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",Serious Workshop,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",You are carrying nothing.,0,0.0,False,I went south → I arrived in the serious workshop from the unreasonably hot scullery.,,go west,,0.0
18,,You can't go that way.,Serious Workshop,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",You are carrying nothing.,0,0.0,False,I went west → I failed because there was no west exit from the serious workshop.,,go south,,0.0
19,,"Well, here we are in a steamy shower. There is an exit to the north. Don't worry, it is unguarded.",Steamy Shower,"Well, here we are in a steamy shower. There is an exit to the north. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,I went south → I arrived in the steamy shower; the only visible exit was north.,,go north,,0.0
20,,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",Serious Workshop,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",You are carrying nothing.,0,0.0,False,"I went north → I arrived in the serious workshop (exits: east, north, south).",,go south,,0.0
21,,"Well, here we are in a steamy shower. There is an exit to the north. Don't worry, it is unguarded.",Steamy Shower,"Well, here we are in a steamy shower. There is an exit to the north. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,I went south → I arrived in the steamy shower (only exit is north).,,go north,,0.0
22,,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",Serious Workshop,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",You are carrying nothing.,0,0.0,False,"I went north → I left the steamy shower and arrived in the serious workshop (exits: east, north, south).",,go south,,0.0
23,,"Well, here we are in a steamy shower. There is an exit to the north. Don't worry, it is unguarded.",Steamy Shower,"Well, here we are in a steamy shower. There is an exit to the north. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,I went south → I arrived in the steamy shower (only exit is north).,,go north,,0.0
24,,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",Serious Workshop,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",You are carrying nothing.,0,0.0,False,"I went north → I left the steamy shower and arrived in the serious workshop (exits: east, north, south).",,go north,,0.0
25,,"You are in a scullery. An unreasonably hot one. You can barely contain your excitement. You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",Unreasonably Hot Scullery,"You are in a scullery. An unreasonably hot one. You can barely contain your excitement. You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,"I went north → I arrived in the Unreasonably Hot Scullery (exits: east, south, west).",,go west,,0.0
26,,"You find yourself in a sauna. A spotless one. You need an unblocked exit? You should try going east. There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unguarded.",Spotless Sauna,"You find yourself in a sauna. A spotless one. You need an unblocked exit? You should try going east. There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unguarded.",You are carrying nothing.,0,0.0,False,"I went west → I arrived in the spotless sauna (exits: east, north, south).",,go south,,0.0
27,,You make a grand eccentric entrance into a fun bar. You begin to take stock of what's in the room. You need an unblocked exit? You should try going north.,Fun Bar,You make a grand eccentric entrance into a fun bar. You begin to take stock of what's in the room. You need an unblocked exit? You should try going north.,You are carrying nothing.,0,0.0,False,I went south → I arrived in the fun bar; the only obvious exit was north.,,go west,,0.0
28,,You can't go that way.,Fun Bar,You make a grand eccentric entrance into a fun bar. You begin to take stock of what's in the room. You need an unblocked exit? You should try going north.,You are carrying nothing.,0,0.0,False,I went west → I failed because there was no west exit from the fun bar (hinted exit is north).,,go north,,0.0
29,,"You find yourself in a sauna. A spotless one. You need an unblocked exit? You should try going east. There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unguarded.",Spotless Sauna,"You find yourself in a sauna. A spotless one. You need an unblocked exit? You should try going east. There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unguarded.",You are carrying nothing.,0,0.0,False,"I went north → I arrived in the spotless sauna (with exits east, north, and south).",,go east,,0.0
30,,"You are in a scullery. An unreasonably hot one. You can barely contain your excitement. You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",Unreasonably Hot Scullery,"You are in a scullery. An unreasonably hot one. You can barely contain your excitement. You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,"I went east → I arrived in the Unreasonably Hot Scullery (exits: east, south, west).",,go east,,0.0
31,,You're now in the silent study 2. You need an unblocked exit? You should try going west.,Silent Study 2,You're now in the silent study 2. You need an unblocked exit? You should try going west.,You are carrying nothing.,0,0.0,False,I went east → I arrived in the silent study 2 (apparently the only exit is west).,,go south,,0.0
32,,You can't go that way.,Silent Study 2,You're now in the silent study 2. You need an unblocked exit? You should try going west.,You are carrying nothing.,0,0.0,False,I went south → I failed because there was no south exit from Silent Study 2.,,go west,,0.0
33,,"You are in a scullery. An unreasonably hot one. You can barely contain your excitement. You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",Unreasonably Hot Scullery,"You are in a scullery. An unreasonably hot one. You can barely contain your excitement. You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,I went west → I returned to the Unreasonably Hot Scullery from Silent Study 2.,,go south,,0.0
34,,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",Serious Workshop,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",You are carrying nothing.,0,0.0,False,"I went south → I arrived in the Serious Workshop (exits: east, north, south).",,go south,,0.0
35,,"Well, here we are in a steamy shower. There is an exit to the north. Don't worry, it is unguarded.",Steamy Shower,"Well, here we are in a steamy shower. There is an exit to the north. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,I went south → I arrived in the steamy shower (only exit is north).,,go north,,0.0
36,,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",Serious Workshop,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",You are carrying nothing.,0,0.0,False,"I went north → I left the steamy shower and arrived in the serious workshop (exits: east, north, south).",,go north,,0.0
37,,"You are in a scullery. An unreasonably hot one. You can barely contain your excitement. You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",Unreasonably Hot Scullery,"You are in a scullery. An unreasonably hot one. You can barely contain your excitement. You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,"I went north → I arrived in the Unreasonably Hot Scullery (exits: east, south, west).",,go east,,0.0
38,,You're now in the silent study 2. You need an unblocked exit? You should try going west.,Silent Study 2,You're now in the silent study 2. You need an unblocked exit? You should try going west.,You are carrying nothing.,0,0.0,False,I went east → I arrived in the silent study 2 (only exit is west).,,go south,,0.0
39,,You can't go that way.,Silent Study 2,You're now in the silent study 2. You need an unblocked exit? You should try going west.,You are carrying nothing.,0,0.0,False,I went south → I failed because there was no south exit from the silent study 2 (only west was available).,,go west,,0.0
40,,"You are in a scullery. An unreasonably hot one. You can barely contain your excitement. You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",Unreasonably Hot Scullery,"You are in a scullery. An unreasonably hot one. You can barely contain your excitement. You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going south. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,I went west → I returned to the Unreasonably Hot Scullery from Silent Study 2.,,go south,,0.0
41,,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",Serious Workshop,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",You are carrying nothing.,0,0.0,False,"I went south → I arrived in the serious workshop (exits: east, north, south).",,go south,,0.0
42,,"Well, here we are in a steamy shower. There is an exit to the north. Don't worry, it is unguarded.",Steamy Shower,"Well, here we are in a steamy shower. There is an exit to the north. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,"I went south → I arrived in the steamy shower, where the only available exit was north.",,go north,,0.0
43,,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",Serious Workshop,"You've entered a serious workshop. You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",You are carrying nothing.,0,0.0,False,"I went north → I left the steamy shower and arrived in the serious workshop (exits: east, north, south).",,go east,,0.0
44,,"You've entered a pleasant bedchamber. You try to gain information on your surroundings by using a technique you call ""looking."" There is an unguarded exit to the east. There is an unblocked exit to the north. There is an unblocked exit to the west.",Pleasant Bedchamber,"You've entered a pleasant bedchamber. You try to gain information on your surroundings by using a technique you call ""looking."" There is an unguarded exit to the east. There is an unblocked exit to the north. There is an unblocked exit to the west.",You are carrying nothing.,0,0.0,False,"I went east → I arrived in the pleasant bedchamber (exits: east, north, west).",,go east,,0.0
45,,"You arrive in a parlor. A fun one. There is an exit to the north. Don't worry, it is unblocked. There is an unblocked exit to the south. There is an exit to the west. Don't worry, it is unguarded.",Fun Parlor,"You arrive in a parlor. A fun one. There is an exit to the north. Don't worry, it is unblocked. There is an unblocked exit to the south. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,"I went east → I arrived in the fun parlor (exits: north, south, west).",,go south,,0.0
46,,"You've entered an entertaining lounge. I guess you better just go and list everything you see here. There is an exit to the north. Don't worry, it is unblocked.",Entertaining Lounge,"You've entered an entertaining lounge. I guess you better just go and list everything you see here. There is an exit to the north. Don't worry, it is unblocked.",You are carrying nothing.,0,0.0,False,I went south → I arrived in the entertaining lounge (only obvious exit was north).,,go north,,0.0
47,,"You arrive in a parlor. A fun one. There is an exit to the north. Don't worry, it is unblocked. There is an unblocked exit to the south. There is an exit to the west. Don't worry, it is unguarded.",Fun Parlor,"You arrive in a parlor. A fun one. There is an exit to the north. Don't worry, it is unblocked. There is an unblocked exit to the south. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,"I went north → I arrived in the fun parlor (exits: north, south, west).",,go south,,0.0
48,,"You've entered an entertaining lounge. I guess you better just go and list everything you see here. There is an exit to the north. Don't worry, it is unblocked.",Entertaining Lounge,"You've entered an entertaining lounge. I guess you better just go and list everything you see here. There is an exit to the north. Don't worry, it is unblocked.",You are carrying nothing.,0,0.0,False,"I went south → I arrived in the entertaining lounge, where the only exit was north.",,go north,,0.0
49,,"You arrive in a parlor. A fun one. There is an exit to the north. Don't worry, it is unblocked. There is an unblocked exit to the south. There is an exit to the west. Don't worry, it is unguarded.",Fun Parlor,"You arrive in a parlor. A fun one. There is an exit to the north. Don't worry, it is unblocked. There is an unblocked exit to the south. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0,0.0,False,"I went north → I arrived in the fun parlor (exits: north, south, west).",,go west,,0.0
