agent_name,model_name,eval_name,eval_size,episode,task,revised_task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
minus-summarizer,gpt-5.2,tw-cooking-2,10,10,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather the required ingredients and cooking tool(s), cook the meal as specified, prepare the meal, and then eat it.",False,0.0,31,30,20,141640,2405,144045,0.24786999999999998,0.03367,0.28153999999999996,1770019001.0795887,,173.53688502311707,0.0,0.0,,1770019205.6164737
minus-summarizer,gpt-5.2,tw-cooking-2,10,20,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather the required ingredients and tools, cook the meal as specified (using cut/slice/dice/chop/cook as needed), prepare the meal, then eat it.",False,0.0,34,33,22,159880,2975,162855,0.27979,0.041650000000000006,0.32144,1770019207.4532132,,198.91292071342468,0.0,0.0,,1770019440.366134
minus-summarizer,gpt-5.2,tw-cooking-2,10,30,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Find the kitchen cookbook and examine it for the recipe, gather and cook the required ingredients using available tools, prepare the meal, then eat the finished meal.",False,0.0,38,37,25,174952,3252,178204,0.306166,0.045528,0.351694,1770019442.0757499,,217.00681829452515,0.0,0.0,,1770019697.0825682
minus-summarizer,gpt-5.2,tw-cooking-2,10,40,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather any required ingredients and tools, cook the items as specified (cut/slice/dice/chop and cook with the appropriate appliance), prepare the meal, then eat the prepared meal.",False,0.0,43,42,28,205181,3277,208458,0.35906675,0.045878,0.40494474999999996,1770019698.6262612,,243.75212049484253,0.0,0.0,,1770019985.3783817
minus-summarizer,gpt-5.2,tw-cooking-2,10,50,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather the required ingredients/tools, cook the dish as specified, prepare the meal, and eat the finished meal.",True,1.0,51,60,40,239929,4061,243990,0.41987575,0.056854,0.47672975,1770019986.9273043,,299.2205183506012,0.0196078431372549,4.098528628222468e-06,,1770020337.1478226
minus-summarizer,gpt-5.2,tw-cooking-2,10,60,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather any required ingredients and tools, cook/prepare the meal accordingly, then eat the finished meal.",True,1.0,31,46,31,145694,2342,148036,0.2549645,0.032788,0.28775249999999997,1770020338.7200844,,169.64784121513367,0.03225806451612903,6.7551136210111055e-06,,1770020539.3679256
minus-summarizer,gpt-5.2,tw-cooking-2,10,70,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather and cook any required ingredients using available tools (cut/slice/dice/chop and cook as needed), prepare the meal, then eat the prepared meal.",False,0.5,31,51,34,144491,2601,147092,0.25285925000000004,0.036414,0.28927325000000004,1770020540.9373584,,173.0464367866516,0.016129032258064516,3.3992331330051942e-06,,1770020744.9837952
minus-summarizer,gpt-5.2,tw-cooking-2,10,80,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather the required ingredients and tools, cook the meal as instructed (using cut/slice/dice/chop/cook as needed), prepare the meal, then eat the prepared meal.",False,0.6428571428571429,21,55,37,100756,1592,102348,0.176323,0.022288000000000002,0.198611,1770020746.7364428,,122.5028886795044,0.030612244897959186,6.281091402442089e-06,,1770020890.2393315
minus-summarizer,gpt-5.2,tw-cooking-2,10,90,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather and cook the required ingredients using the appropriate appliances/tools, prepare the meal, then eat the finished meal.",True,1.0,33,61,41,157719,2800,160519,0.27600825,0.0392,0.31520825,1770020891.8105657,,190.22544765472412,0.030303030303030304,6.229792111837228e-06,,1770021115.0360134
minus-summarizer,gpt-5.2,tw-cooking-2,10,100,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!","Go to the kitchen, examine the cookbook to learn the recipe, gather the required ingredients/tools, cook the dish as specified (using cut/slice/dice/chop and cook actions as needed), prepare the meal, then eat the prepared meal.",False,0.8235294117647058,34,66,44,166701,2419,169120,0.29172675,0.033866,0.32559275,1770021116.6510067,,221.63058257102966,0.02422145328719723,4.869497467861316e-06,,1770021372.2815893
