agent_name,model_name,eval_name,eval_size,episode,task,revised_task,success,reward,steps,max_steps,solution_steps,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,start_time,end_time,total_time,reward_per_step,reward_per_token,error,stop_time
minus-summarizer,gpt-5.2,tw-treasure-3,10,10,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! First off, if it's not too much trouble, I need you to take a trip west. That done, venture north. And then, pick-up the fondue from the floor of the studio. And if you do that, you're the winner!","Go west, then north to the studio, and take the fondue from the floor.",True,1.0,5,20,3,19014,183,19197,0.0332745,0.002562,0.0358365,1770004873.9379065,,21.59323477745056,0.2,5.2091472625931135e-05,,1770004900.5311413
minus-summarizer,gpt-5.2,tw-treasure-3,10,20,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First thing I need you to do is to ensure that the passageway inside the bedchamber is open. And then, make an effort to take a trip south. With that over with, venture south. And then, travel east. Then, pick-up the passkey from the floor of the laundromat. Once that's all handled, you can stop!","Make sure the passageway in the bedchamber is open, then go south, south, and east to the laundromat, and pick up the passkey from the floor.",True,1.0,13,20,5,56103,810,56913,0.09818025,0.01134,0.10952025,1770004902.1306374,,62.53429913520813,0.07692307692307693,1.7570678052466045e-05,,1770004977.6649365
minus-summarizer,gpt-5.2,tw-treasure-3,10,30,"Who's got a virtual machine and is about to play through an life changing round of TextWorld? You do! Here is how to play! First of all, you could, like, head west. Then, take a trip west. If you can get around to doing that, take a trip west. If you can finish that, make an attempt to head south. And then, make an effort to go east. Then, try to go east. Then, recover the loaf of bread from the rack in the laundromat. And once you've done that, you win!","Go west three times, then go south, then go east twice to reach the laundromat, and take the loaf of bread from the rack.",True,1.0,9,20,7,38433,404,38837,0.06725775,0.0056560000000000004,0.07291375,1770004979.2074409,,40.168787717819214,0.1111111111111111,2.5748641759147206e-05,,1770005028.3762286
minus-summarizer,gpt-5.2,tw-treasure-3,10,40,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Here is your task for today. First stop, make an effort to travel north. And then, travel west. With that over with, make an attempt to travel west. With that accomplished, make an effort to venture south. After that, head south. With that done, travel west. After that, go north. That done, go north. And then, lift the keycard from the floor of the cubicle. Once that's all handled, you can stop!","Go north, then west, west, south, south, west, north, north to reach the cubicle, then take the keycard from the floor.",True,1.0,7,20,9,29606,290,29896,0.0518105,0.00406,0.055870500000000003,1770005029.8211524,,43.453099727630615,0.14285714285714285,3.344929087503345e-05,,1770005080.2742522
minus-summarizer,gpt-5.2,tw-treasure-3,10,50,"Welcome to another fast paced session of TextWorld! First of all, you could, like, travel west. Then, attempt to venture west. And then, go north. And then, make an effort to head east. And then, move east. Then, head east. With that done, attempt to venture north. Okay, and then, attempt to move west. After that, try to venture west. Then, try to head west. Next, retrieve the Comic Strip Calendar from the chair. Once that's all handled, you can stop!","Navigate exactly: go west, go west, go north, go east, go east, go east, go north, go west, go west, go west; then take the Comic Strip Calendar from the chair.",False,0.0,21,20,11,93582,1514,95096,0.16376849999999998,0.021196,0.18496449999999998,1770005081.6731384,,110.65017461776733,0.0,0.0,,1770005213.323313
minus-summarizer,gpt-5.2,tw-treasure-3,10,60,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! Your first objective is to open the portal in the bar. After that, go to the south. And then, recover the passkey from the plate inside the dish-pit. If you can get your hands on the passkey, unlock the gateway with the passkey. Then, ensure that the gateway inside the dish-pit is open. After that, go south. And then, try to take a trip west. And then, take a trip west. If you can get through with that, make an attempt to venture west. Once you accomplish that, take a trip north. And then, make an effort to go east. Then, lift the sandwich from the floor of the parlor. And if you do that, you're the winner!","Open the portal in the bar, go south to the dish-pit, take the passkey from the plate, unlock and open the gateway, go south, go west three times, go north, go east, and take the sandwich from the parlor floor.",True,1.0,14,20,12,60180,742,60922,0.10531499999999999,0.010388000000000001,0.115703,1770005214.8375022,,63.16888642311096,0.07142857142857142,1.641443156823479e-05,,1770005292.0063887
minus-summarizer,gpt-5.2,tw-treasure-3,10,70,"Welcome to TextWorld! First thing I need you to do is to attempt to travel south. Then, pick-up the Canadian keycard from the floor of the cubicle. With the Canadian keycard, check that the Canadian passageway inside the cubicle is unlocked with the Canadian keycard. Then, ensure that the Canadian passageway is open. After that, go to the west. After that, make an effort to go to the north. Then, retrieve the key from the floor of the workshop. Alright, thanks!","Go south, take the Canadian keycard from the cubicle floor, use it to unlock the Canadian passageway in the cubicle and open it, go west, go north, then take the key from the workshop floor.",True,1.0,9,20,7,37086,388,37474,0.0649005,0.005432,0.0703325,1770005293.4206648,,43.185701847076416,0.1111111111111111,2.66851683834125e-05,,1770005345.6063666
minus-summarizer,gpt-5.2,tw-treasure-3,10,80,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First off, if it's not too much trouble, I need you to attempt to go to the north. And then, make sure that the door inside the basement is unlocked with the key. Then, ensure that the door in the basement is open. After that, move north. With that over with, attempt to take a trip west. That done, attempt to move west. Once you finish that, head north. Okay, and then, attempt to head west. And then, try to head north. Following that, take a trip east. Then, make an effort to go to the east. And then, head east. Then, venture east. And then, attempt to head south. And then, head west. Once you get through with that, pick-up the lampshade from the floor of the cellar. Got that? Good!","Go north; in the basement unlock the door with the key and open it; go north; then follow this movement sequence: west, west, north, west, north, east, east, east, east, south, west; finally, take the lampshade from the floor of the cellar.",True,1.0,18,24,16,80437,1002,81439,0.14076475,0.014028,0.15479275,1770005347.1020405,,97.74147701263428,0.05555555555555555,1.2279129164159678e-05,,1770005462.8435175
minus-summarizer,gpt-5.2,tw-treasure-3,10,90,"Welcome to TextWorld! First off, if it's not too much trouble, I need you to go to the north. Then, open the gate. Then, head west. And then, make an effort to head north. With that done, ensure that the hatch in the steam room is open. After that, try to move west. And then, travel west. With that over with, make an effort to go to the west. If you can get through with that, make an effort to move south. After that, attempt to head south. With that accomplished, attempt to travel east. After that, try to travel south. And then, travel south. After that, take a trip east. And then, make an attempt to take a trip north. Then, go north. Okay, and then, attempt to venture north. Next, lift the sandwich from the floor of the bar. That's it!","Go north, open the gate, go west, go north, open the hatch in the steam room, go west three times, go south twice, go east, go south twice, go east, go north three times to the bar, and take the sandwich from the floor.",False,0.0,28,27,18,126008,1659,127667,0.22051400000000002,0.023226,0.24374,1770005464.413919,,141.52736902236938,0.0,0.0,,1770005633.941288
minus-summarizer,gpt-5.2,tw-treasure-3,10,100,"Hey, thanks for coming over to the TextWorld today, there is something I need you to do for me. First step, move west. And then, try to move south. And then, make an attempt to go to the south. With that done, retrieve the American style passkey from the basket. After that, go north. Then, unlock the American style gate in the study. And then, open the American style gate. After that, go to the east. And then, open the gate inside the sauna. After opening the gate, make an attempt to venture east. Then, make an attempt to move east. With that done, try to venture south. After that, pick-up the non-euclidean latchkey from the floor of the spare room. And then, go north. After that, make absolutely sure that the non-euclidean passageway is unlocked. After that, open the non-euclidean passageway. Then, move north. With that over with, move east. After that, make an effort to head south. Then, recover the stapler from the floor of the studio. Got that? Good!","Go west, go south twice, take the American style passkey from the basket, go north, unlock and open the American style gate in the study, go east, open the gate in the sauna, go east twice, go south, take the non-euclidean latchkey from the spare room floor, go north, unlock and open the non-euclidean passageway, go north, go east, go south, and take the stapler from the studio floor.",True,1.0,15,30,20,66016,831,66847,0.115528,0.011634,0.127162,1770005635.4766362,,72.56239032745361,0.06666666666666667,1.4959534459287626e-05,,1770005723.0390265
